"FileSize","IsLogFull","LastAccessTime","LastWriteTime","OldestRecordNumber","RecordCount","LogName","LogType","LogIsolation","IsEnabled","IsClassicLog","SecurityDescriptor","LogFilePath","MaximumSizeInBytes","LogMode","OwningProviderName","ProviderNames","ProviderLevel","ProviderKeywords","ProviderBufferSize","ProviderMinimumNumberOfBuffers","ProviderMaximumNumberOfBuffers","ProviderLatency","ProviderControlGuid"
"4263936","False","3/25/2024 3:31:08 PM","3/25/2024 3:31:08 PM","1","2652","Windows PowerShell","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Windows PowerShell.evtx","15728640","Circular","","System.String[]",,,"64","0","64","1000",
"20975616","False","3/25/2024 3:26:58 PM","3/25/2024 3:26:30 PM","9726","41596","System","Administrative","System","True","True","O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\System.evtx","20971520","Circular","","System.String[]",,,"64","0","16","1000",
"20975616","False","3/25/2024 3:31:25 PM","3/25/2024 3:29:41 PM","1192731","34654","Security","Administrative","Custom","True","True","O:BAG:SYD:(A;;0xf0005;;;SY)(A;;0x5;;;BA)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Security.evtx","20971520","Circular","","System.String[]",,,"64","0","16","1000",
"1052672","False","3/25/2024 3:25:00 PM","3/25/2024 3:25:00 PM","1","2005","OneApp_IGCC","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\OneApp_IGCC.evtx","1052672","Circular","","System.String[]",,,"64","0","64","1000",
"1052672","False","3/25/2024 2:05:26 PM","3/25/2024 2:05:26 PM","1","891","OAlerts","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\OAlerts.evtx","1052672","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","3/25/2024 3:30:56 PM","3/30/2023 8:40:12 AM","0","0","Key Management Service","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Key Management Service.evtx","20971520","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","3/25/2024 3:30:56 PM","3/30/2023 8:40:12 AM","0","0","Internet Explorer","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Internet Explorer.evtx","1052672","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","3/25/2024 3:30:56 PM","3/30/2023 8:40:12 AM","0","0","IntelAudioServiceLog","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\IntelAudioServiceLog.evtx","1052672","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","3/25/2024 3:30:56 PM","3/30/2023 8:40:12 AM","0","0","HardwareEvents","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\HardwareEvents.evtx","20971520","Circular","","System.String[]",,,"64","0","64","1000",
"17895424","False","3/25/2024 3:30:11 PM","3/25/2024 3:30:11 PM","1","22683","Application","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Application.evtx","20971520","Circular","","System.String[]",,,"64","0","64","1000",
